Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
                0.00    0.00       1/12          luaH_getn [61]
                0.01    0.00       2/12          addk [49]
                0.01    0.00       2/12          lua_rawgeti [50]
                0.02    0.00       6/12          luaH_setint [31]
[25]     0.1    0.05    0.00      12         luaH_getint [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.1    0.04    0.00                 unroll [26]
-----------------------------------------------
                0.00    0.00       3/20000290     sweep2old [145]
                0.00    0.00     406/20000290     luaC_freeallobjects [4]
                0.04    0.00 19999881/20000290     dothecall [18]
[27]     0.1    0.04    0.00 20000290         freeobj [27]
                0.00    0.00     235/235         luaS_remove [177]
-----------------------------------------------
